Date,Time,Part,Standard,Unit,Tolerance,Measured,Status
2024-08-20,15:03:48,Lighter,14,gr,15,2.50,OK
2024-08-20,15:06:09,vivo y95,163,gr,163,2.50,OK
2024-08-20,15:06:18,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:06:30,Lighter,14,gr,15,2.50,OK
2024-08-20,15:06:38,Lighter,14,gr,13,2.50,OK
2024-08-20,15:15:28,vivo y95,163,gr,163,2.50,OK
2024-08-20,15:15:35,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:15:43,vivo y95,163,gr,164,2.50,OK
2024-08-20,15:15:53,Lighter,14,gr,15,2.50,OK
2024-08-20,15:16:00,Lighter,14,gr,15,2.50,OK
2024-08-20,22:05:34,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:05:38,vivo y95,163,gr,163,2.50,OK
2024-08-20,22:05:42,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:05:45,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:05:48,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:06:28,Lighter,14,gr,14,2.50,OK
2024-08-20,22:06:33,Lighter,14,gr,14,2.50,OK
2024-08-20,22:06:37,Lighter,14,gr,14,2.50,OK
2024-08-20,22:06:59,Lighter,14,gr,11,2.50,OK
2024-08-20,22:07:03,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:11,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:15,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:29,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:35,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:39,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:43,Lighter,14,gr,14,2.50,OK
2024-08-20,22:07:56,vivo y95,163,gr,164,2.50,OK
2024-08-20,22:08:02,vivo y95,163,gr,164,2.50,OK
